City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Busselton,-33.65,115.3333,285.93,95,8,2.13,AU,1619370634
Kapaa,22.0752,-159.319,296.15,78,75,5.14,US,1619370650
Isangel,-19.55,169.2667,298.12,81,100,4.61,VU,1619370667
Soyo,-6.1349,12.3689,299.94,79,47,3.35,AO,1619370672
Khani,41.9563,42.9566,286.15,76,75,4.63,GE,1619370673
Vostok,46.4856,135.8833,268.46,53,4,2.14,RU,1619370673
Provideniya,64.3833,-173.3,273.93,94,95,1.4,RU,1619370643
Cherskiy,68.75,161.3,254.99,98,98,1.99,RU,1619370668
Jamestown,42.097,-79.2353,283.71,81,90,4.63,US,1619370447
Rikitea,-23.1203,-134.9692,298.36,76,84,3.16,PF,1619370630
Djebeniana,35.035,10.9081,293.15,60,20,4.12,TN,1619370675
Klaksvík,62.2266,-6.589,281.15,93,100,5.66,FO,1619370676
Quatre Cocos,-20.2078,57.7625,298.71,88,75,5.66,MU,1619370676
Hereford,52.0568,-2.7148,287.04,55,20,2.24,GB,1619370677
Aklavik,68.2191,-135.0107,267.15,79,20,5.66,CA,1619370677
Maţāy,28.419,30.7792,305.25,16,0,9.63,EG,1619370678
Albany,42.6001,-73.9662,285.37,71,90,2.06,US,1619370457
Torbay,47.6666,-52.7314,284.82,40,20,8.75,CA,1619370678
Vaini,-21.2,-175.2,297.15,94,75,3.09,TO,1619370679
Bethel,41.3712,-73.414,283.71,85,100,2.26,US,1619370680
Cape Town,-33.9258,18.4232,293.71,88,0,7.72,ZA,1619370532
Avarua,-21.2078,-159.775,299.15,83,40,4.12,CK,1619370635
Bredasdorp,-34.5322,20.0403,289.15,82,100,1.54,ZA,1619370681
Bluff,-46.6,168.3333,278.71,82,76,3.13,NZ,1619370661
Chokurdakh,70.6333,147.9167,265.1,94,100,6.01,RU,1619370682
Butaritari,3.0707,172.7902,301.05,77,27,4.74,KI,1619370682
Ushuaia,-54.8,-68.3,286.15,50,75,7.72,AR,1619370536
Bumba,2.1833,22.4667,295.33,96,100,2.02,CD,1619370683
Nanortalik,60.1432,-45.2371,279.31,73,100,7.87,GL,1619370685
Tahe,52.3333,124.7333,277.42,53,100,1.75,CN,1619370685
Mutare,-18.9707,32.6709,293.92,54,88,1.31,ZW,1619370686
Nikolskoye,59.7035,30.7861,277.15,87,75,6.0,RU,1619370686
Thompson,55.7435,-97.8558,274.15,44,75,3.09,CA,1619370651
Ferndale,42.4606,-83.1347,284.15,53,1,7.2,US,1619370687
Upernavik,72.7868,-56.1549,275.03,87,27,1.81,GL,1619370687
Goroka,-6.0834,145.3873,289.75,99,100,0.79,PG,1619370688
Bathsheba,13.2167,-59.5167,303.15,48,20,10.29,BB,1619370689
Lebu,-37.6167,-73.65,288.87,73,0,5.72,CL,1619370672
Macas,-2.3167,-78.1167,301.15,57,40,1.54,EC,1619370689
Harstad,68.79899999999999,16.5293,276.15,65,90,2.57,NO,1619370690
Alice Springs,-23.7,133.8833,282.15,61,0,0.51,AU,1619370690
Puerto Ayora,-0.7393,-90.3518,301.15,65,20,8.23,EC,1619370691
Constitución,-35.3333,-72.4167,291.7,55,0,5.68,CL,1619370691
Punta Arenas,-53.15,-70.9167,288.15,47,75,10.29,CL,1619370645
Umba,66.6871,34.3429,275.16,89,100,8.57,RU,1619370692
Marawi,7.9986,124.2928,298.71,88,81,0.89,PH,1619370692
Saskylakh,71.9167,114.0833,264.32,95,100,3.39,RU,1619370693
Sandy Bay,-42.913,147.3532,287.15,62,90,6.17,AU,1619370693
Saint Cloud,45.5608,-94.1625,279.26,49,90,5.66,US,1619370694
Balaipungut,1.05,101.2833,297.37,95,86,0.57,ID,1619370695
Battle Creek,42.3212,-85.1797,280.37,53,1,6.17,US,1619370420
Tuktoyaktuk,69.4541,-133.0374,261.15,92,90,4.63,CA,1619370696
Atuona,-9.8,-139.0333,299.85,71,68,8.23,PF,1619370326
Hambantota,6.1241,81.1185,300.29,79,35,2.77,LK,1619370696
Bonavista,48.6499,-53.1147,285.15,40,14,5.66,CA,1619370697
Cidreira,-30.1811,-50.2056,295.03,71,85,7.49,BR,1619370698
Oruzgan,32.8333,66.0,293.59,12,2,0.98,AF,1619370698
Rio Grande,-32.035,-52.0986,296.15,43,40,9.77,BR,1619370699
Hobart,-42.8794,147.3294,287.15,62,90,6.17,AU,1619370638
Veracruz,19.3333,-96.6667,302.04,74,90,6.17,MX,1619370656
Barrow,71.2906,-156.7887,261.15,92,1,5.66,US,1619370700
Prince Rupert,54.3161,-130.3201,285.15,40,1,3.09,CA,1619370563
New Norfolk,-42.7826,147.0587,287.04,81,100,2.23,AU,1619370701
Nipawin,53.3668,-104.0009,280.15,31,20,5.66,CA,1619370701
Vila Velha,-20.3297,-40.2925,303.15,66,20,6.17,BR,1619370702
Hermanus,-34.4187,19.2345,290.93,82,100,0.89,ZA,1619370703
Mossamedes,-15.1961,12.1522,299.49,70,6,6.98,AO,1619370703
Hong Kong,22.2855,114.1577,296.48,92,100,8.9,HK,1619370264
Kungurtug,50.5994,97.5228,269.18,91,100,1.95,RU,1619370704
Hamilton,39.1834,-84.5333,288.15,76,90,2.57,US,1619370100
Dingle,10.9995,122.6711,297.98,84,15,1.2,PH,1619370705
Port Shepstone,-30.7414,30.455,294.7,80,0,2.89,ZA,1619370706
Nacala,-14.5428,40.6728,296.98,91,100,2.18,MZ,1619370706
Bambous Virieux,-20.3428,57.7575,298.71,88,75,5.66,MU,1619370706
Kruisfontein,-34.0033,24.7314,295.42,43,100,1.63,ZA,1619370707
Mataura,-46.1927,168.8643,278.71,82,34,3.13,NZ,1619370708
Fort Nelson,58.8053,-122.7002,274.15,51,40,1.03,CA,1619370708
Valparaíso,-33.0393,-71.6273,288.15,94,20,2.57,CL,1619370710
Iqaluit,63.7506,-68.5145,274.15,80,75,1.03,CA,1619370710
Leshukonskoye,64.8989,45.7622,278.39,89,100,2.78,RU,1619370711
Marzuq,14.4,46.4667,296.04,67,45,4.48,YE,1619370711
Lubao,14.9167,120.55,298.15,83,40,1.03,PH,1619370713
Nome,64.5011,-165.4064,275.15,80,90,1.71,US,1619370713
Winslow,35.0242,-110.6974,296.15,12,1,9.26,US,1619370714
Kodīnar,20.7903,70.7031,300.71,80,19,4.92,IN,1619370714
Saint-Philippe,-21.3585,55.7679,299.15,73,0,10.8,RE,1619370333
Berlevåg,70.8578,29.0864,273.15,59,40,4.12,NO,1619370715
Lyngdal,58.1376,7.07,280.37,60,16,5.36,NO,1619370715
Saint George,37.1041,-113.5841,297.15,16,1,13.89,US,1619370468
Tura,25.5198,90.2201,299.28,26,23,1.71,IN,1619370716
Bud,39.447,-86.1758,285.93,54,1,4.63,US,1619370717
Souillac,-20.5167,57.5167,298.15,88,75,5.66,MU,1619370718
Esperance,-33.8667,121.9,290.15,63,2,6.69,AU,1619370718
Puerto del Rosario,28.5004,-13.8627,297.15,50,40,7.2,ES,1619370719
Leningradskiy,69.3833,178.4167,262.9,89,16,1.95,RU,1619370719
Lompoc,34.6391,-120.4579,287.15,58,100,1.7,US,1619370720
East London,-33.0153,27.9116,293.15,83,0,4.12,ZA,1619370652
São Sebastião,-23.76,-45.4097,299.53,62,78,2.18,BR,1619370721
Tiksi,71.6872,128.8694,267.26,96,99,1.9,RU,1619370721
Hilo,19.7297,-155.09,293.15,83,90,1.54,US,1619370450
Warrnambool,-38.3833,142.4833,284.26,96,51,3.4,AU,1619370722
Walvis Bay,-22.9575,14.5053,293.15,64,3,4.12,,1619370723
Sorong,-0.8833,131.25,298.59,89,78,4.5,ID,1619370723
Faanui,-16.4833,-151.75,300.16,65,8,1.49,PF,1619370724
Bonnyville,54.2668,-110.735,277.15,30,20,5.66,CA,1619370554
Tasiilaq,65.6145,-37.6368,277.15,65,75,10.29,GL,1619370538
Kaitangata,-46.2817,169.8464,275.93,77,41,0.89,NZ,1619370725
Ak-Dovurak,51.1833,90.6,273.53,51,50,1.02,RU,1619370726
Qaanaaq,77.484,-69.3632,272.73,72,85,1.71,GL,1619370319
Puerto Madero,14.7208,-92.4215,305.15,51,20,1.03,MX,1619370727
Yar-Sale,66.8333,70.8333,273.28,94,100,4.5,RU,1619370706
Nchelenge,-9.3451,28.734,296.56,72,74,0.3,ZM,1619370727
Dinar,38.065,30.1656,287.15,77,75,6.69,TR,1619370728
Morondava,-20.2833,44.2833,299.67,74,22,4.67,MG,1619370728
Ishigaki,24.3448,124.1572,295.65,65,41,7.98,JP,1619370729
Yellowknife,62.456,-114.3525,259.15,56,75,2.57,CA,1619370729
Okha,53.5739,142.9478,266.53,89,6,1.76,RU,1619370730
Krumovgrad,41.4667,25.65,282.58,76,24,2.85,BG,1619370730
Hay River,60.8156,-115.7999,262.15,79,90,4.63,CA,1619370731
Saint Paul Harbor,57.79,-152.4072,277.15,87,90,4.63,US,1619370539
Nanuque,-17.8392,-40.3539,305.28,44,5,1.88,BR,1619370732
Nicoya,10.1483,-85.45200000000001,306.86,38,27,3.14,CR,1619370732
Oranjemund,-28.55,16.4333,290.11,87,100,1.89,,1619370405
El Tigre,8.8875,-64.2454,306.73,34,69,6.1,VE,1619370629
Saint-Louis,16.3333,-15.0,311.15,19,0,1.03,SN,1619370733
Boueni,-12.9025,45.0761,300.15,83,0,3.09,YT,1619370734
Port Alfred,-33.5906,26.891,294.57,71,97,7.25,ZA,1619370735
Matagami,49.7502,-77.6328,268.15,93,90,8.23,CA,1619370716
Stromness,58.965,-3.2960000000000003,282.15,76,0,4.12,GB,1619370736
Lagoa,39.05,-27.9833,288.45,79,30,6.45,PT,1619370736
Mayskiy,47.6931,40.1025,285.15,37,0,2.0,RU,1619370737
Faya,18.3851,42.4509,291.15,59,40,3.6,SA,1619370737
Namtsy,62.7161,129.6658,274.15,80,40,1.0,RU,1619370738
Egvekinot,66.3167,-179.1667,267.03,90,92,2.39,RU,1619370718
Lata,40.1629,-8.3327,290.15,82,75,3.09,PT,1619370740
İskenderun,36.5872,36.1735,296.15,46,75,9.26,TR,1619370741
Longyearbyen,78.2186,15.6401,268.15,68,40,7.72,SJ,1619370728
Hithadhoo,-0.6,73.0833,301.64,66,57,1.76,MV,1619370742
Katsuura,35.1333,140.3,287.15,54,75,7.72,JP,1619370742
Cayenne,4.9333,-52.3333,303.15,70,90,6.69,GF,1619370743
Tabou,4.423,-7.3528,301.8,70,100,3.69,CI,1619370743
Cabo San Lucas,22.8909,-109.9124,301.48,34,40,3.6,MX,1619370744
George Town,5.4112,100.3354,301.48,89,20,1.03,MY,1619370744
Narsaq,60.9167,-46.05,284.15,30,75,8.75,GL,1619370699
Pringsewu,-5.3582,104.9744,296.04,95,78,1.02,ID,1619370673
Mil'kovo,54.7167,158.6167,272.75,91,99,0.5,RU,1619370746
Barentu,15.1139,37.5928,305.27,21,78,0.98,ER,1619370746
Richards Bay,-28.783,32.0377,293.17,85,0,1.02,ZA,1619370747
Mehamn,71.0357,27.8492,275.15,69,75,5.14,NO,1619370747
Kabanjahe,3.1001,98.4908,298.15,100,75,3.09,ID,1619370748
Airai,-8.9266,125.4092,286.11,82,22,0.86,TL,1619370700
Jumla,29.2747,82.1838,282.56,43,27,1.86,NP,1619370077
Cap Malheureux,-19.9842,57.6142,298.71,81,100,3.13,MU,1619370749
Yantai,37.5333,121.4,283.54,67,100,1.46,CN,1619370750
Coyhaique,-45.5752,-72.0662,287.15,51,40,4.12,CL,1619370750
Salalah,17.0151,54.0924,302.15,70,75,3.6,OM,1619370605
Abnūb,27.2696,31.1511,308.15,20,0,6.17,EG,1619370751
Nelson Bay,-32.7167,152.15,285.93,100,16,2.57,AU,1619370752
Gimli,50.6336,-96.9907,274.15,69,99,2.57,CA,1619370752
Coquimbo,-29.9533,-71.3436,290.15,72,20,5.14,CL,1619370753
Dandong,40.1292,124.3947,284.4,33,85,2.55,CN,1619370754
Ewo,-0.8725,14.8206,301.37,63,82,1.19,CG,1619370754
Jvari,42.7169,42.052,286.15,76,75,4.63,GE,1619370755
Mahon,39.8885,4.2658,290.15,72,0,9.26,ES,1619370756
Marsá Maţrūḩ,31.3525,27.2453,292.15,77,40,7.72,EG,1619370756
Carnarvon,-24.8667,113.6333,291.15,88,1,4.12,AU,1619370757
Lagan,45.3929,47.3707,285.16,59,96,4.73,RU,1619370758
Ichchāpuram,19.1167,84.7,300.39,74,82,5.36,IN,1619370758
Belmonte,-15.8631,-38.8828,302.15,65,40,6.69,BR,1619370759
Vila Franca do Campo,37.7167,-25.4333,290.15,67,75,7.2,PT,1619370760
Aflao,6.1160000000000005,1.1914,304.15,74,40,4.63,TG,1619370760
Reyes,-14.3167,-67.3833,295.15,100,90,4.12,BO,1619370761
Chui,-33.6971,-53.4616,293.62,47,19,4.98,UY,1619370761
Byron Bay,-28.65,153.6167,287.04,94,40,3.79,AU,1619370762
Bagotville,-28.9833,153.4167,287.04,100,90,2.06,AU,1619370762
Nebyliv,48.8153,24.2166,278.15,93,75,2.0,UA,1619370612
Tarquinia,42.2482,11.7553,293.15,42,0,4.63,IT,1619370763
Ribeira Grande,38.5167,-28.7,291.15,72,20,2.57,PT,1619370764
Korla,41.7597,86.1469,284.83,23,5,3.17,CN,1619370764
Kibara,-2.15,33.45,294.15,88,75,1.06,TZ,1619370554
Pemberton,50.3164,-122.8027,280.15,76,90,1.54,CA,1619370765
Bilma,18.6853,12.9164,311.64,7,7,3.59,NE,1619370766
Srednekolymsk,67.45,153.6833,252.82,100,26,2.06,RU,1619370766
Arraial do Cabo,-22.9661,-42.0278,302.15,65,0,4.12,BR,1619370767
Acarí,-15.4311,-74.6158,299.71,54,16,4.21,PE,1619370769
Wanning,18.8003,110.3967,298.79,91,45,3.09,CN,1619370769
Visby,57.6409,18.296,277.04,70,40,5.66,SE,1619370770
Beringovskiy,63.05,179.3167,272.11,88,99,1.46,RU,1619370770
Paramonga,-10.6667,-77.8333,294.96,75,69,3.74,PE,1619370771
Marataizes,-21.0433,-40.8244,299.23,72,47,4.36,BR,1619370772
Bengkulu,-3.8004,102.2655,298.36,86,100,2.15,ID,1619370535
Nadym,65.5333,72.5167,273.48,97,100,5.08,RU,1619370577
Khatanga,71.9667,102.5,259.29,83,97,8.49,RU,1619370633
Redlands,34.0556,-117.1825,289.82,67,90,2.83,US,1619370774
Eenhana,-17.4667,16.3333,298.15,36,26,1.54,,1619370774
Diamantino,-14.4086,-56.4461,301.22,64,95,2.53,BR,1619370775
Galveston,29.3669,-94.9669,297.59,64,1,6.69,US,1619370775
Camargo,27.6667,-105.1667,300.24,6,83,3.5,MX,1619370775
Yagodnoye,62.55,149.6667,248.59,94,21,1.85,RU,1619370776
Codrington,-38.2667,141.9667,284.75,86,47,2.39,AU,1619370538
‘Āhuimanu,21.4447,-157.8378,297.15,69,75,5.14,US,1619370521
Goianésia,-15.3175,-49.1175,303.75,45,51,1.63,BR,1619370777
Yeniseysk,58.4497,92.1703,275.44,96,100,3.37,RU,1619370777
Sambava,-14.2667,50.1667,297.36,85,100,3.54,MG,1619370779
Cowra,-33.8333,148.6833,278.71,84,0,0.98,AU,1619370780
Hasaki,35.7333,140.8333,283.15,57,40,5.14,JP,1619370781
Al Bardīyah,31.7561,25.0865,290.82,76,0,6.83,LY,1619370781
Saint-Pierre,-21.3393,55.4781,299.15,73,0,10.8,RE,1619370782
Bensonville,6.4461,-10.6125,303.15,74,20,4.12,LR,1619370782
Wanaka,-44.7,169.15,277.59,74,43,2.34,NZ,1619370783
Raudeberg,61.9875,5.1352,278.71,60,8,6.19,NO,1619370783
Hanzhong,33.0728,107.0303,284.78,93,100,0.21,CN,1619370784
Verkhoyansk,67.5447,133.385,262.34,97,78,1.17,RU,1619370754
Thurso,58.5927,-3.5259,282.15,81,62,3.6,GB,1619370785
Ayan,56.45,138.1667,267.36,85,17,2.24,RU,1619370786
Mercedes,-34.6515,-59.4307,293.71,68,0,2.24,AR,1619370786
Dunedin,-45.8742,170.5036,282.04,42,77,1.34,NZ,1619370787
Lorengau,-2.0226,147.2712,299.86,78,100,2.4,PG,1619370788
Takhtamygda,54.1,123.5667,276.29,70,100,0.74,RU,1619370788
Lamas,-6.4167,-76.5333,307.15,46,20,1.54,PE,1619370789
Malé,4.1748,73.5089,303.15,74,40,3.6,MV,1619370789
Centralia,46.7162,-122.9543,283.71,81,90,3.09,US,1619370566
Ilulissat,69.2167,-51.1,284.15,40,20,9.77,GL,1619370790
Mahébourg,-20.4081,57.7,298.15,88,75,5.66,MU,1619370804
Yulara,-25.2406,130.9889,289.15,41,0,5.14,AU,1619370805
Yerbogachën,61.2767,108.0108,274.12,98,100,3.34,RU,1619370805
Vilcún,-38.65,-72.2333,283.15,100,75,1.03,CL,1619370806
Carutapera,-1.195,-46.02,301.52,77,88,2.59,BR,1619370806
Aruppukkottai,9.5167,78.1,302.15,79,20,2.57,IN,1619370807
Nemuro,43.3236,145.575,273.48,68,42,8.6,JP,1619370807
Petropavlovsk-Kamchatskiy,53.0452,158.6483,274.15,100,75,1.0,RU,1619370813
São Filipe,14.8961,-24.4956,295.3,75,87,5.13,CV,1619370813
Kahului,20.8947,-156.47,296.15,73,20,5.14,US,1619370655
Akureyri,65.6835,-18.0878,277.15,100,90,7.72,IS,1619370814
Norman Wells,65.282,-126.8329,273.15,55,75,10.29,CA,1619370814
Sittwe,20.15,92.9,301.28,78,0,3.45,MM,1619370815
Pevek,69.7008,170.3133,265.94,95,100,5.36,RU,1619370815
Padang,-0.9492,100.3543,298.98,85,98,1.32,ID,1619370816
Progreso,21.2833,-89.6667,307.59,49,40,2.41,MX,1619370816
Naze,28.3667,129.4833,291.41,66,100,4.89,JP,1619370817
Ambilobe,-13.2,49.05,296.12,81,99,1.79,MG,1619370817
Piskavica,44.8681,16.9736,294.15,23,0,2.06,BA,1619370546
Naantali,60.4674,22.0243,278.15,60,75,4.63,FI,1619370818
Mendoza,-32.8908,-68.8272,293.15,45,0,1.54,AR,1619370557
Kjøllefjord,70.9457,27.3465,275.15,69,75,5.14,NO,1619370822
Guerrero Negro,27.9769,-114.0611,291.3,62,75,5.27,MX,1619370822
Alofi,-19.0595,-169.9187,294.15,94,89,0.51,NU,1619370823
Atar,20.5169,-13.0499,309.22,11,0,6.69,MR,1619370824
Talakan,50.3167,130.3667,275.9,43,90,1.79,RU,1619370825
Port Hardy,50.6996,-127.4199,282.15,93,90,2.06,CA,1619370825
Evensk,61.95,159.2333,267.9,95,100,3.37,RU,1619370829
Roanoke Rapids,36.4615,-77.6542,291.48,82,90,3.6,US,1619370692
Kirakira,-10.4544,161.9205,299.16,84,61,1.61,SB,1619370833
Henties Bay,-22.116,14.2845,290.93,87,1,2.68,,1619370834
Rockhampton,-23.3833,150.5,291.15,77,5,2.06,AU,1619370835
Olyka,50.7186,25.8125,280.93,43,97,1.79,UA,1619370835
Leh,34.1667,77.5833,275.33,26,1,1.99,IN,1619370809
Batticaloa,7.7102,81.6924,300.33,68,9,3.61,LK,1619370836
Scarborough,54.2797,-0.4044,282.59,73,58,0.45,GB,1619370679
Sydney,-33.8679,151.2073,287.59,82,0,3.6,AU,1619370548
Maniitsoq,65.4167,-52.9,277.24,78,65,2.85,GL,1619370838
High Level,58.5169,-117.136,274.15,64,90,1.54,CA,1619370839
Manhush,47.0558,37.3107,282.59,100,71,0.45,UA,1619370839
Opuwo,-18.0607,13.84,297.87,30,24,0.99,,1619370840
